,1 Demo,2 Trial,3 Walk,4 Paid,5 Won,6 Lost,Closed,7 Remarket
6,7,11,2,9,2,2,6,0
7,12,19,4,16,11,2,10,0
8,13,22,6,24,16,4,18,0
9,20,31,7,28,29,10,27,1
10,27,33,9,33,40,18,36,2
11,32,36,11,38,51,22,40,2
12,36,39,12,45,63,32,44,2
13,38,40,13,47,76,43,47,2
14,41,43,16,49,86,56,51,2
15,45,51,18,58,110,97,69,2
16,50,54,18,60,120,107,71,2
17,50,57,19,61,138,113,77,2
18,51,59,20,62,152,122,81,2
19,52,60,20,63,164,134,85,2
20,52,60,21,65,172,146,86,2
21,53,61,21,66,186,152,91,3
22,53,61,23,67,197,164,95,5
23,53,61,23,68,205,170,100,6
24,54,61,23,68,220,183,103,6
25,54,61,23,69,229,197,114,6
26,55,61,25,70,246,206,119,6
27,56,62,25,71,260,220,124,6
28,59,63,25,71,275,229,124,6
29,59,63,26,71,293,245,126,6
30,60,65,26,71,299,259,128,6
31,60,65,26,71,319,276,129,8
32,60,65,26,71,319,277,130,8
